,Name,Price,Location,Date
0,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
1,"Konsola PS4 Pro + 3 Gry TLOU2, FF7 Remake, Ghost of Tsushima",1200,Elbląg,2020-11-8
2,Ghost of Tsushima ps4 PL,190,Bydgoszcz,2020-11-8
3,Ghost of Tsushima PL PS4,180,Ruda Śląska,2020-11-8
4,Ghost of Tsushima PS4 pl,160,"Poznań, Łacina",2020-11-8
5,PS 4 pro + Ghost of Tsushima,990,"Łódź, Bałuty",2020-11-8
6,Ghost of Tsushima PS4 (PL) ideał,190,Piaseczno,2020-11-8
7,Ghost of tsushima na ps4,150,Przygodzice,2020-11-8
8,PS 4 GRA Ghost of tsushima,200,"Gdynia, Obłuże",2020-11-8
9,Gra Ghost Of Tsushima PL PS4 PlayStation 4 Jak Nowa,185,"Wrocław, Stare Miasto",2020-11-8
10,Ghost of Tsushima PS4 PL DUBBING,190,Ciemne,2020-11-8
11,"Ghost of Tsushima, PS4 Gra",170,Lublin,2020-11-8
12,Ghost of Tsushima PS4 Playstation 4,170,"Wrocław, Fabryczna",2020-11-8
13,"Konsola PS4 Pro + 3 Gry TLOU2, FF7 Remake, Ghost of Tsushima",1200,Elbląg,2020-11-8
14,Ghost of tsushima ps4 playstation 4,170,"Warszawa, Praga-Południe",2020-11-8
15,Ghost of Tsushima PS4 PL,170,Łęczyca,2020-11-7
16,Ghost of Tsushima PS4,200,"Kraków, Bieżanów-Prokocim",2020-11-7
17,Ghost of Tsushima PS4,180,"Wrocław, Fabryczna",2020-11-7
18,Ghost Of Tsushima - Edycja Kolekcjonerska [PS4] (DUBBING PL),999.90,Dąbrowa Górnicza,2020-11-7
19,Ghost Of Tsushima PS4 STAN IDEALNY,149,Ustanów,2020-11-7
20,Nowa Ghost of Tsushima Edycja Kolekcjonerska - Playstation 4 - PS4,699.99,"Kraków, Podgórze",2020-11-7
21,Gra Ghost of Tsushima PL nowa folia! Ps4 * Sklep CHORZÓW,229,Chorzów,2020-11-7
22,Ghost of Tsushima ps4,150,Szlachta,2020-11-7
23,Ghost of tsushima ps4 pl,150,Malbork,2020-11-6
24,Gra PS4 Ghost of Tsushima Edycja Standardowa,259,"Łódź, Śródmieście",2020-11-6
25,PS4 Ghost of Tsushima PL Nowa Playstation 4,229,Buk,2020-11-6
26,Gra ghost of tsushima ps4 pl lub zamienie za watch dogs legion,170,Brzeg Dolny,2020-11-5
27,Ghost of tsushima PS4,150,Buków,2020-11-4
28,Ghost of Tsushima ps4,150,Chorzów,2020-11-4
29,PS4 Ghost of Tsushima Edycja Kolekcjonerska PL Playstation 4 Nowa,850,Buk,2020-11-4
30,"Lombard na Lewara Gra PS4 ""Ghost of Tsushima""",169,Wałbrzych,2020-11-4
31,Ghost of tsushima PS4,170,Pułankowice,2020-11-3
32,"PS4 Pro 1 TB 2 pady 4 gry (Ghost of Tsushima, Until Dawn)",1300,Chorzów,2020-11-3
33,Ghost of Tsushima Ps4 PL Gwarancja,199,Koszalin,2020-11-3
34,Ghost of Tsushima PS4 stan idealny!,199,Lublin,2020-11-3
35,Ghost of Tsushima Wydanie Specjalne Steelbook PS4,300,Toruń,2020-11-3
36,Ghost of Tsushima PS4 PL,170,Nowy Dwór Gdański,2020-11-2
